			"IFERROR(INDEX('A00 VaN'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaN'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaN'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 VaR'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaR'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaR'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 EmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 EmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 EmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 HrA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 HrA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 HrA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 CmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 CmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 CmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 XR'!$C$5:$BS$45,MATCH($A4,'A00 XR'!$A$5:$A$45,0),MATCH($C4,'A00 XR'!$C$4:$BS$4,0)),"""")"	"IFERROR(INDEX('A00 CPI'!$C$5:$BS$45,MATCH($A4,'A00 CPI'!$A$5:$A$45,0),MATCH($C4,'A00 CPI'!$C$4:$BS$4,0)),"""")"
IRL	10	1962						2.208	5.437
IRL	10	1963						2.208	5.570
IRL	10	1964						2.208	5.945
IRL	10	1965						2.208	6.244
IRL	10	1966						2.208	6.430
IRL	10	1967						2.178	6.631
IRL	10	1968						1.893	6.948
IRL	10	1969						1.893	7.460
IRL	10	1970						1.893	8.073
IRL	10	1971						1.919	8.797
IRL	10	1972						1.970	9.553
IRL	10	1973						1.932	10.645
IRL	10	1974						1.844	12.451
IRL	10	1975						1.745	15.051
IRL	10	1976						1.417	17.756
IRL	10	1977						1.376	20.148
IRL	10	1978						1.512	21.702
IRL	10	1979						1.614	24.587
IRL	10	1980						1.621	29.051
IRL	10	1981						1.273	34.970
IRL	10	1982						1.120	40.966
IRL	10	1983						0.983	45.246
IRL	10	1984						0.856	49.160
IRL	10	1985						0.839	51.813
IRL	10	1986						1.061	53.796
IRL	10	1987						1.172	55.495
IRL	10	1988						1.202	56.680
IRL	10	1989						1.117	58.998
IRL	10	1990						1.306	60.955
IRL	10	1991						1.272	62.912
IRL	10	1992						1.343	64.843
IRL	10	1993						1.166	65.796
IRL	10	1994						1.179	67.316
IRL	10	1995						1.263	69.015
IRL	10	1996						1.261	70.226
IRL	10	1997						1.195	71.297
IRL	10	1998						1.123	73.019
IRL	10	1999						1.067	74.211
IRL	10	2000						0.924	78.360
IRL	10	2001						0.895	82.178
IRL	10	2002						0.944	85.970
IRL	10	2003						1.131	88.971
IRL	10	2004						1.243	90.928
IRL	10	2005						1.246	93.137
IRL	10	2006						1.256	96.799
IRL	10	2007						1.371	101.540
IRL	10	2008						1.472	105.662
IRL	10	2009						1.393	100.931
IRL	10	2010						1.327	100.000
IRL	10	2011						1.391	102.557
IRL	10	2012						1.286	104.297
IRL	10	2013						1.328	104.827
IRL	10	2014						1.329	105.019
IRL	10	2015						1.110	104.714
IRL	10	2016						1.107	104.723
IRL	10	2017						1.129	105.080
IRL	10	2018						1.181	105.593
IRL	11	1950						2.208	3.505
IRL	11	1951						2.208	3.783
IRL	11	1952						2.208	4.113
IRL	11	1953						2.208	4.331
IRL	11	1954						2.208	4.344
IRL	11	1955						2.208	4.456
IRL	11	1956						2.208	4.646
IRL	11	1957						2.208	4.836
IRL	11	1958						2.208	5.052
IRL	11	1959						2.208	5.052
IRL	11	1960						2.208	5.074
IRL	11	1961						2.208	5.215
IRL	11	1962						2.208	5.437
IRL	11	1963						2.208	5.570
IRL	11	1964						2.208	5.945
IRL	11	1965						2.208	6.244
IRL	11	1966						2.208	6.430
IRL	11	1967						2.178	6.631
IRL	11	1968						1.893	6.948
IRL	11	1969						1.893	7.460
IRL	11	1970						1.893	8.073
IRL	11	1971						1.919	8.797
IRL	11	1972						1.970	9.553
IRL	11	1973						1.932	10.645
IRL	11	1974						1.844	12.451
IRL	11	1975						1.745	15.051
IRL	11	1976						1.417	17.756
IRL	11	1977						1.376	20.148
IRL	11	1978						1.512	21.702
IRL	11	1979						1.614	24.587
IRL	11	1980						1.621	29.051
IRL	11	1981						1.273	34.970
IRL	11	1982						1.120	40.966
IRL	11	1983						0.983	45.246
IRL	11	1984						0.856	49.160
IRL	11	1985						0.839	51.813
IRL	11	1986						1.061	53.796
IRL	11	1987						1.172	55.495
IRL	11	1988						1.202	56.680
IRL	11	1989						1.117	58.998
IRL	11	1990						1.306	60.955
IRL	11	1991						1.272	62.912
IRL	11	1992						1.343	64.843
IRL	11	1993						1.166	65.796
IRL	11	1994						1.179	67.316
IRL	11	1995						1.263	69.015
IRL	11	1996						1.261	70.226
IRL	11	1997						1.195	71.297
IRL	11	1998						1.123	73.019
IRL	11	1999						1.067	74.211
IRL	11	2000						0.924	78.360
IRL	11	2001						0.895	82.178
IRL	11	2002						0.944	85.970
IRL	11	2003						1.131	88.971
IRL	11	2004						1.243	90.928
IRL	11	2005						1.246	93.137
IRL	11	2006						1.256	96.799
IRL	11	2007						1.371	101.540
IRL	11	2008						1.472	105.662
IRL	11	2009						1.393	100.931
IRL	11	2010						1.327	100.000
IRL	11	2011						1.391	102.557
IRL	11	2012						1.286	104.297
IRL	11	2013						1.328	104.827
IRL	11	2014						1.329	105.019
IRL	11	2015						1.110	104.714
IRL	11	2016						1.107	104.723
IRL	11	2017						1.129	105.080
IRL	11	2018						1.181	105.593
IRL	12	1950						2.208	3.505
IRL	12	1951						2.208	3.783
IRL	12	1952						2.208	4.113
IRL	12	1953						2.208	4.331
IRL	12	1954						2.208	4.344
IRL	12	1955						2.208	4.456
IRL	12	1956						2.208	4.646
IRL	12	1957						2.208	4.836
IRL	12	1958						2.208	5.052
IRL	12	1959						2.208	5.052
IRL	12	1960						2.208	5.074
IRL	12	1961						2.208	5.215
IRL	12	1962						2.208	5.437
IRL	12	1963						2.208	5.570
IRL	12	1964						2.208	5.945
IRL	12	1965						2.208	6.244
IRL	12	1966						2.208	6.430
IRL	12	1967						2.178	6.631
IRL	12	1968						1.893	6.948
IRL	12	1969						1.893	7.460
IRL	12	1970						1.893	8.073
IRL	12	1971						1.919	8.797
IRL	12	1972						1.970	9.553
IRL	12	1973						1.932	10.645
IRL	12	1974						1.844	12.451
IRL	12	1975						1.745	15.051
IRL	12	1976						1.417	17.756
IRL	12	1977						1.376	20.148
IRL	12	1978						1.512	21.702
IRL	12	1979						1.614	24.587
IRL	12	1980						1.621	29.051
IRL	12	1981						1.273	34.970
IRL	12	1982						1.120	40.966
IRL	12	1983						0.983	45.246
IRL	12	1984						0.856	49.160
IRL	12	1985						0.839	51.813
IRL	12	1986						1.061	53.796
IRL	12	1987						1.172	55.495
IRL	12	1988						1.202	56.680
IRL	12	1989						1.117	58.998
IRL	12	1990						1.306	60.955
IRL	12	1991						1.272	62.912
IRL	12	1992						1.343	64.843
IRL	12	1993						1.166	65.796
IRL	12	1994						1.179	67.316
IRL	12	1995						1.263	69.015
IRL	12	1996						1.261	70.226
IRL	12	1997						1.195	71.297
IRL	12	1998						1.123	73.019
IRL	12	1999						1.067	74.211
IRL	12	2000						0.924	78.360
IRL	12	2001						0.895	82.178
IRL	12	2002						0.944	85.970
IRL	12	2003						1.131	88.971
IRL	12	2004						1.243	90.928
IRL	12	2005						1.246	93.137
IRL	12	2006						1.256	96.799
IRL	12	2007						1.371	101.540
IRL	12	2008						1.472	105.662
IRL	12	2009						1.393	100.931
IRL	12	2010						1.327	100.000
IRL	12	2011						1.391	102.557
IRL	12	2012						1.286	104.297
IRL	12	2013						1.328	104.827
IRL	12	2014						1.329	105.019
IRL	12	2015						1.110	104.714
IRL	12	2016						1.107	104.723
IRL	12	2017						1.129	105.080
IRL	12	2018						1.181	105.593
IRL	13-15	1950						2.208	3.505
IRL	13-15	1951						2.208	3.783
IRL	13-15	1952						2.208	4.113
IRL	13-15	1953						2.208	4.331
IRL	13-15	1954						2.208	4.344
IRL	13-15	1955						2.208	4.456
IRL	13-15	1956						2.208	4.646
IRL	13-15	1957						2.208	4.836
IRL	13-15	1958						2.208	5.052
IRL	13-15	1959						2.208	5.052
IRL	13-15	1960						2.208	5.074
IRL	13-15	1961						2.208	5.215
IRL	13-15	1962						2.208	5.437
IRL	13-15	1963						2.208	5.570
IRL	13-15	1964						2.208	5.945
IRL	13-15	1965						2.208	6.244
IRL	13-15	1966						2.208	6.430
IRL	13-15	1967						2.178	6.631
IRL	13-15	1968						1.893	6.948
IRL	13-15	1969						1.893	7.460
IRL	13-15	1970	56	616	17	35	46	1.893	8.073
IRL	13-15	1971	63	639	17	35	52	1.919	8.797
IRL	13-15	1972	70	612	18	35	58	1.970	9.553
IRL	13-15	1973	83	647	18	36	69	1.932	10.645
IRL	13-15	1974	80	569	19	37	66	1.844	12.451
IRL	13-15	1975	101	533	18	36	84	1.745	15.051
IRL	13-15	1976	117	564	18	35	97	1.417	17.756
IRL	13-15	1977	144	582	18	35	119	1.376	20.148
IRL	13-15	1978	161	573	19	36	133	1.512	21.702
IRL	13-15	1979	185	607	19	37	153	1.614	24.587
IRL	13-15	1980	213	635	20	37	176	1.621	29.051
IRL	13-15	1981	246	692	19	35	204	1.273	34.970
IRL	13-15	1982	295	698	19	35	244	1.120	40.966
IRL	13-15	1983	280	608	18	32	234	0.983	45.246
IRL	13-15	1984	306	619	17	31	256	0.856	49.160
IRL	13-15	1985	349	629	17	30	295	0.839	51.813
IRL	13-15	1986	343	608	17	32	291	1.061	53.796
IRL	13-15	1987	358	605	17	31	303	1.172	55.495
IRL	13-15	1988	345	577	17	31	292	1.202	56.680
IRL	13-15	1989	355	618	18	32	299	1.117	58.998
IRL	13-15	1990	387	664	18	33	317	1.306	60.955
IRL	13-15	1991	380	635	18	33	329	1.272	62.912
IRL	13-15	1992	363	606	17	33	328	1.343	64.843
IRL	13-15	1993	382	638	17	32	326	1.166	65.796
IRL	13-15	1994	401	663	17	32	339	1.179	67.316
IRL	13-15	1995	406	653	16	31	356	1.263	69.015
IRL	13-15	1996	379	660	16	32	337	1.261	70.226
IRL	13-15	1997	376	660	18	33	332	1.195	71.297
IRL	13-15	1998	392	674	20	39	333	1.123	73.019
IRL	13-15	1999	351	594	19	35	300	1.067	74.211
IRL	13-15	2000	343	481	16	31	290	0.924	78.360
IRL	13-15	2001	374	524	14	27	310	0.895	82.178
IRL	13-15	2002	322	374	14	26	286	0.944	85.970
IRL	13-15	2003	302	346	11	21	249	1.131	88.971
IRL	13-15	2004	266	351	9	17	234	1.243	90.928
IRL	13-15	2005	260	313	9	16	213	1.246	93.137
IRL	13-15	2006	240	246	9	17	174	1.256	96.799
IRL	13-15	2007	261	206	9	17	199	1.371	101.540
IRL	13-15	2008	212	192	9	17	172	1.472	105.662
IRL	13-15	2009	185	161	7	12	159	1.393	100.931
IRL	13-15	2010	151	151	5	9	137	1.327	100.000
IRL	13-15	2011	142	136	5	9	117	1.391	102.557
IRL	13-15	2012	139	121	4	7	112	1.286	104.297
IRL	13-15	2013	148	124	4	7	116	1.328	104.827
IRL	13-15	2014	154	127	5	8	131	1.329	105.019
IRL	13-15	2015	160	127	5	8	132	1.110	104.714
IRL	13-15	2016	156	133	5	8	132	1.107	104.723
IRL	13-15	2017	156	137	4	7	117	1.129	105.080
IRL	13-15	2018	172	150	4	7	113	1.181	105.593
IRL	13	1950						2.208	3.505
IRL	13	1951						2.208	3.783
IRL	13	1952						2.208	4.113
IRL	13	1953						2.208	4.331
IRL	13	1954						2.208	4.344
IRL	13	1955						2.208	4.456
IRL	13	1956						2.208	4.646
IRL	13	1957						2.208	4.836
IRL	13	1958						2.208	5.052
IRL	13	1959						2.208	5.052
IRL	13	1960						2.208	5.074
IRL	13	1961						2.208	5.215
IRL	13	1962						2.208	5.437
IRL	13	1963						2.208	5.570
IRL	13	1964						2.208	5.945
IRL	13	1965						2.208	6.244
IRL	13	1966						2.208	6.430
IRL	13	1967						2.178	6.631
IRL	13	1968						1.893	6.948
IRL	13	1969						1.893	7.460
IRL	13	1970						1.893	8.073
IRL	13	1971						1.919	8.797
IRL	13	1972						1.970	9.553
IRL	13	1973						1.932	10.645
IRL	13	1974						1.844	12.451
IRL	13	1975						1.745	15.051
IRL	13	1976						1.417	17.756
IRL	13	1977						1.376	20.148
IRL	13	1978						1.512	21.702
IRL	13	1979						1.614	24.587
IRL	13	1980						1.621	29.051
IRL	13	1981						1.273	34.970
IRL	13	1982						1.120	40.966
IRL	13	1983						0.983	45.246
IRL	13	1984						0.856	49.160
IRL	13	1985						0.839	51.813
IRL	13	1986						1.061	53.796
IRL	13	1987						1.172	55.495
IRL	13	1988						1.202	56.680
IRL	13	1989						1.117	58.998
IRL	13	1990						1.306	60.955
IRL	13	1991						1.272	62.912
IRL	13	1992						1.343	64.843
IRL	13	1993						1.166	65.796
IRL	13	1994						1.179	67.316
IRL	13	1995						1.263	69.015
IRL	13	1996						1.261	70.226
IRL	13	1997						1.195	71.297
IRL	13	1998						1.123	73.019
IRL	13	1999						1.067	74.211
IRL	13	2000						0.924	78.360
IRL	13	2001						0.895	82.178
IRL	13	2002						0.944	85.970
IRL	13	2003						1.131	88.971
IRL	13	2004						1.243	90.928
IRL	13	2005						1.246	93.137
IRL	13	2006						1.256	96.799
IRL	13	2007						1.371	101.540
IRL	13	2008						1.472	105.662
IRL	13	2009						1.393	100.931
IRL	13	2010						1.327	100.000
IRL	13	2011						1.391	102.557
IRL	13	2012						1.286	104.297
IRL	13	2013						1.328	104.827
IRL	13	2014						1.329	105.019
IRL	13	2015						1.110	104.714
IRL	13	2016						1.107	104.723
IRL	13	2017						1.129	105.080
IRL	13	2018						1.181	105.593
IRL	14	1950						2.208	3.505
IRL	14	1951						2.208	3.783
IRL	14	1952						2.208	4.113
IRL	14	1953						2.208	4.331
IRL	14	1954						2.208	4.344
IRL	14	1955						2.208	4.456
IRL	14	1956						2.208	4.646
IRL	14	1957						2.208	4.836
IRL	14	1958						2.208	5.052
IRL	14	1959						2.208	5.052
IRL	14	1960						2.208	5.074
IRL	14	1961						2.208	5.215
IRL	14	1962						2.208	5.437
IRL	14	1963						2.208	5.570
IRL	14	1964						2.208	5.945
IRL	14	1965						2.208	6.244
IRL	14	1966						2.208	6.430
IRL	14	1967						2.178	6.631
IRL	14	1968						1.893	6.948
IRL	14	1969						1.893	7.460
IRL	14	1970						1.893	8.073
IRL	14	1971						1.919	8.797
IRL	14	1972						1.970	9.553
IRL	14	1973						1.932	10.645
IRL	14	1974						1.844	12.451
IRL	14	1975						1.745	15.051
IRL	14	1976						1.417	17.756
IRL	14	1977						1.376	20.148
IRL	14	1978						1.512	21.702
IRL	14	1979						1.614	24.587
IRL	14	1980						1.621	29.051
IRL	14	1981						1.273	34.970
IRL	14	1982						1.120	40.966
IRL	14	1983						0.983	45.246
IRL	14	1984						0.856	49.160
IRL	14	1985						0.839	51.813
IRL	14	1986						1.061	53.796
IRL	14	1987						1.172	55.495
IRL	14	1988						1.202	56.680
IRL	14	1989						1.117	58.998
IRL	14	1990						1.306	60.955
IRL	14	1991						1.272	62.912
IRL	14	1992						1.343	64.843
IRL	14	1993						1.166	65.796
IRL	14	1994						1.179	67.316
IRL	14	1995						1.263	69.015
IRL	14	1996						1.261	70.226
IRL	14	1997						1.195	71.297
IRL	14	1998						1.123	73.019
IRL	14	1999						1.067	74.211
IRL	14	2000						0.924	78.360
IRL	14	2001						0.895	82.178
IRL	14	2002						0.944	85.970
IRL	14	2003						1.131	88.971
IRL	14	2004						1.243	90.928
IRL	14	2005						1.246	93.137
IRL	14	2006						1.256	96.799
IRL	14	2007						1.371	101.540
IRL	14	2008						1.472	105.662
IRL	14	2009						1.393	100.931
IRL	14	2010						1.327	100.000
IRL	14	2011						1.391	102.557
IRL	14	2012						1.286	104.297
IRL	14	2013						1.328	104.827
IRL	14	2014						1.329	105.019
IRL	14	2015						1.110	104.714
IRL	14	2016						1.107	104.723
IRL	14	2017						1.129	105.080
IRL	14	2018						1.181	105.593
IRL	15	1950						2.208	3.505
IRL	15	1951						2.208	3.783
IRL	15	1952						2.208	4.113
IRL	15	1953						2.208	4.331
IRL	15	1954						2.208	4.344
IRL	15	1955						2.208	4.456
IRL	15	1956						2.208	4.646
IRL	15	1957						2.208	4.836
IRL	15	1958						2.208	5.052
IRL	15	1959						2.208	5.052
IRL	15	1960						2.208	5.074
IRL	15	1961						2.208	5.215
IRL	15	1962						2.208	5.437
IRL	15	1963						2.208	5.570
IRL	15	1964						2.208	5.945
IRL	15	1965						2.208	6.244
IRL	15	1966						2.208	6.430
IRL	15	1967						2.178	6.631
IRL	15	1968						1.893	6.948
IRL	15	1969						1.893	7.460
IRL	15	1970						1.893	8.073
IRL	15	1971						1.919	8.797
IRL	15	1972						1.970	9.553
IRL	15	1973						1.932	10.645
IRL	15	1974						1.844	12.451
IRL	15	1975						1.745	15.051
IRL	15	1976						1.417	17.756
IRL	15	1977						1.376	20.148
IRL	15	1978						1.512	21.702
IRL	15	1979						1.614	24.587
IRL	15	1980						1.621	29.051
IRL	15	1981						1.273	34.970
IRL	15	1982						1.120	40.966
IRL	15	1983						0.983	45.246
IRL	15	1984						0.856	49.160
IRL	15	1985						0.839	51.813
IRL	15	1986						1.061	53.796
IRL	15	1987						1.172	55.495
IRL	15	1988						1.202	56.680
IRL	15	1989						1.117	58.998
IRL	15	1990						1.306	60.955
IRL	15	1991						1.272	62.912
IRL	15	1992						1.343	64.843
IRL	15	1993						1.166	65.796
IRL	15	1994						1.179	67.316
IRL	15	1995						1.263	69.015
IRL	15	1996						1.261	70.226
IRL	15	1997						1.195	71.297
IRL	15	1998						1.123	73.019
IRL	15	1999						1.067	74.211
IRL	15	2000						0.924	78.360
IRL	15	2001						0.895	82.178
IRL	15	2002						0.944	85.970
IRL	15	2003						1.131	88.971
IRL	15	2004						1.243	90.928
IRL	15	2005						1.246	93.137
IRL	15	2006						1.256	96.799
IRL	15	2007						1.371	101.540
IRL	15	2008						1.472	105.662
IRL	15	2009						1.393	100.931
IRL	15	2010						1.327	100.000
IRL	15	2011						1.391	102.557
IRL	15	2012						1.286	104.297
IRL	15	2013						1.328	104.827
IRL	15	2014						1.329	105.019
IRL	15	2015						1.110	104.714
IRL	15	2016						1.107	104.723
IRL	15	2017						1.129	105.080
IRL	15	2018						1.181	105.593
IRL	16-18	1950						2.208	3.505
IRL	16-18	1951						2.208	3.783
IRL	16-18	1952						2.208	4.113
IRL	16-18	1953						2.208	4.331
IRL	16-18	1954						2.208	4.344
IRL	16-18	1955						2.208	4.456
IRL	16-18	1956						2.208	4.646
IRL	16-18	1957						2.208	4.836
IRL	16-18	1958						2.208	5.052
IRL	16-18	1959						2.208	5.052
IRL	16-18	1960						2.208	5.074
IRL	16-18	1961						2.208	5.215
IRL	16-18	1962						2.208	5.437
IRL	16-18	1963						2.208	5.570
IRL	16-18	1964						2.208	5.945
IRL	16-18	1965						2.208	6.244
IRL	16-18	1966						2.208	6.430
IRL	16-18	1967						2.178	6.631
IRL	16-18	1968						1.893	6.948
IRL	16-18	1969						1.893	7.460
IRL	16-18	1970	21	295	18	39	17	1.893	8.073
IRL	16-18	1971	24	306	18	39	19	1.919	8.797
IRL	16-18	1972	29	322	18	39	23	1.970	9.553
IRL	16-18	1973	35	341	19	40	27	1.932	10.645
IRL	16-18	1974	40	358	20	41	31	1.844	12.451
IRL	16-18	1975	49	328	19	40	39	1.745	15.051
IRL	16-18	1976	59	359	18	39	46	1.417	17.756
IRL	16-18	1977	76	391	19	40	60	1.376	20.148
IRL	16-18	1978	93	420	20	40	73	1.512	21.702
IRL	16-18	1979	111	460	20	41	87	1.614	24.587
IRL	16-18	1980	127	438	21	41	100	1.621	29.051
IRL	16-18	1981	139	434	20	39	110	1.273	34.970
IRL	16-18	1982	166	435	20	39	130	1.120	40.966
IRL	16-18	1983	174	424	18	36	136	0.983	45.246
IRL	16-18	1984	197	450	18	34	154	0.856	49.160
IRL	16-18	1985	240	490	17	34	187	0.839	51.813
IRL	16-18	1986	269	510	18	35	210	1.061	53.796
IRL	16-18	1987	283	522	18	35	221	1.172	55.495
IRL	16-18	1988	306	559	18	35	238	1.202	56.680
IRL	16-18	1989	337	612	18	36	262	1.117	58.998
IRL	16-18	1990	384	655	19	37	296	1.306	60.955
IRL	16-18	1991	377	603	19	37	297	1.272	62.912
IRL	16-18	1992	432	667	19	39	316	1.343	64.843
IRL	16-18	1993	460	701	20	40	335	1.166	65.796
IRL	16-18	1994	496	758	21	42	360	1.179	67.316
IRL	16-18	1995	605	888	22	44	420	1.263	69.015
IRL	16-18	1996	658	935	22	46	452	1.261	70.226
IRL	16-18	1997	771	"1,093"	24	48	519	1.195	71.297
IRL	16-18	1998	860	"1,171"	23	48	586	1.123	73.019
IRL	16-18	1999	952	"1,170"	25	51	631	1.067	74.211
IRL	16-18	2000	"1,038"	"1,094"	26	52	710	0.924	78.360
IRL	16-18	2001	"1,252"	"1,048"	27	54	778	0.895	82.178
IRL	16-18	2002	"1,268"	"1,085"	26	52	854	0.944	85.970
IRL	16-18	2003	"1,365"	"1,065"	24	47	887	1.131	88.971
IRL	16-18	2004	"1,424"	"1,121"	22	43	788	1.243	90.928
IRL	16-18	2005	"1,534"	"1,197"	22	44	803	1.246	93.137
IRL	16-18	2006	"1,592"	"1,213"	22	44	922	1.256	96.799
IRL	16-18	2007	"1,276"	"1,206"	23	47	995	1.371	101.540
IRL	16-18	2008	960	"1,017"	22	44	867	1.472	105.662
IRL	16-18	2009	827	767	19	36	768	1.393	100.931
IRL	16-18	2010	736	736	17	33	656	1.327	100.000
IRL	16-18	2011	643	720	17	32	562	1.391	102.557
IRL	16-18	2012	588	693	14	27	532	1.286	104.297
IRL	16-18	2013	692	696	16	31	606	1.328	104.827
IRL	16-18	2014	749	731	14	27	562	1.329	105.019
IRL	16-18	2015	759	690	14	26	517	1.110	104.714
IRL	16-18	2016	747	662	14	27	629	1.107	104.723
IRL	16-18	2017	813	691	15	30	629	1.129	105.080
IRL	16-18	2018	995	740	16	31	641	1.181	105.593
IRL	16	1950						2.208	3.505
IRL	16	1951						2.208	3.783
IRL	16	1952						2.208	4.113
IRL	16	1953						2.208	4.331
IRL	16	1954						2.208	4.344
IRL	16	1955						2.208	4.456
IRL	16	1956						2.208	4.646
IRL	16	1957						2.208	4.836
IRL	16	1958						2.208	5.052
IRL	16	1959						2.208	5.052
IRL	16	1960						2.208	5.074
IRL	16	1961						2.208	5.215
IRL	16	1962						2.208	5.437
IRL	16	1963						2.208	5.570
IRL	16	1964						2.208	5.945
IRL	16	1965						2.208	6.244
IRL	16	1966						2.208	6.430
IRL	16	1967						2.178	6.631
IRL	16	1968						1.893	6.948
IRL	16	1969						1.893	7.460
IRL	16	1970						1.893	8.073
IRL	16	1971						1.919	8.797
IRL	16	1972						1.970	9.553
IRL	16	1973						1.932	10.645
IRL	16	1974						1.844	12.451
IRL	16	1975						1.745	15.051
IRL	16	1976						1.417	17.756
IRL	16	1977						1.376	20.148
IRL	16	1978						1.512	21.702
IRL	16	1979						1.614	24.587
IRL	16	1980						1.621	29.051
IRL	16	1981						1.273	34.970
IRL	16	1982						1.120	40.966
IRL	16	1983						0.983	45.246
IRL	16	1984						0.856	49.160
IRL	16	1985						0.839	51.813
IRL	16	1986						1.061	53.796
IRL	16	1987						1.172	55.495
IRL	16	1988						1.202	56.680
IRL	16	1989						1.117	58.998
IRL	16	1990						1.306	60.955
IRL	16	1991						1.272	62.912
IRL	16	1992						1.343	64.843
IRL	16	1993						1.166	65.796
IRL	16	1994						1.179	67.316
IRL	16	1995	180	155	7	15	91	1.263	69.015
IRL	16	1996	198	174	7	16	100	1.261	70.226
IRL	16	1997	244	221	8	16	119	1.195	71.297
IRL	16	1998	266	240	7	16	146	1.123	73.019
IRL	16	1999	312	264	9	18	167	1.067	74.211
IRL	16	2000	374	256	9	18	211	0.924	78.360
IRL	16	2001	319	235	9	18	209	0.895	82.178
IRL	16	2002	346	266	9	18	262	0.944	85.970
IRL	16	2003	388	275	8	16	309	1.131	88.971
IRL	16	2004	454	319	9	18	297	1.243	90.928
IRL	16	2005	463	344	9	19	318	1.246	93.137
IRL	16	2006	519	374	8	17	385	1.256	96.799
IRL	16	2007	552	353	10	20	418	1.371	101.540
IRL	16	2008	315	256	9	18	309	1.472	105.662
IRL	16	2009	202	169	7	14	229	1.393	100.931
IRL	16	2010	164	164	6	12	187	1.327	100.000
IRL	16	2011	130	150	5	10	149	1.391	102.557
IRL	16	2012	137	136	4	7	142	1.286	104.297
IRL	16	2013	170	149	5	8	189	1.328	104.827
IRL	16	2014	184	142	5	9	160	1.329	105.019
IRL	16	2015	208	141	4	7	152	1.110	104.714
IRL	16	2016	229	145	4	8	186	1.107	104.723
IRL	16	2017	273	197	4	8	197	1.129	105.080
IRL	16	2018	333	223	5	9	224	1.181	105.593
IRL	17	1950						2.208	3.505
IRL	17	1951						2.208	3.783
IRL	17	1952						2.208	4.113
IRL	17	1953						2.208	4.331
IRL	17	1954						2.208	4.344
IRL	17	1955						2.208	4.456
IRL	17	1956						2.208	4.646
IRL	17	1957						2.208	4.836
IRL	17	1958						2.208	5.052
IRL	17	1959						2.208	5.052
IRL	17	1960						2.208	5.074
IRL	17	1961						2.208	5.215
IRL	17	1962						2.208	5.437
IRL	17	1963						2.208	5.570
IRL	17	1964						2.208	5.945
IRL	17	1965						2.208	6.244
IRL	17	1966						2.208	6.430
IRL	17	1967						2.178	6.631
IRL	17	1968						1.893	6.948
IRL	17	1969						1.893	7.460
IRL	17	1970						1.893	8.073
IRL	17	1971						1.919	8.797
IRL	17	1972						1.970	9.553
IRL	17	1973						1.932	10.645
IRL	17	1974						1.844	12.451
IRL	17	1975						1.745	15.051
IRL	17	1976						1.417	17.756
IRL	17	1977						1.376	20.148
IRL	17	1978						1.512	21.702
IRL	17	1979						1.614	24.587
IRL	17	1980						1.621	29.051
IRL	17	1981						1.273	34.970
IRL	17	1982						1.120	40.966
IRL	17	1983						0.983	45.246
IRL	17	1984						0.856	49.160
IRL	17	1985						0.839	51.813
IRL	17	1986						1.061	53.796
IRL	17	1987						1.172	55.495
IRL	17	1988						1.202	56.680
IRL	17	1989						1.117	58.998
IRL	17	1990						1.306	60.955
IRL	17	1991						1.272	62.912
IRL	17	1992						1.343	64.843
IRL	17	1993						1.166	65.796
IRL	17	1994						1.179	67.316
IRL	17	1995	195	270	4	9	152	1.263	69.015
IRL	17	1996	209	269	4	9	163	1.261	70.226
IRL	17	1997	236	282	5	10	186	1.195	71.297
IRL	17	1998	268	292	5	11	204	1.123	73.019
IRL	17	1999	272	281	5	10	204	1.067	74.211
IRL	17	2000	272	287	5	9	198	0.924	78.360
IRL	17	2001	274	295	5	9	217	0.895	82.178
IRL	17	2002	306	290	5	10	252	0.944	85.970
IRL	17	2003	324	277	5	10	256	1.131	88.971
IRL	17	2004	272	298	4	7	209	1.243	90.928
IRL	17	2005	242	277	3	7	193	1.246	93.137
IRL	17	2006	230	272	4	7	202	1.256	96.799
IRL	17	2007	231	276	3	7	206	1.371	101.540
IRL	17	2008	203	256	3	5	180	1.472	105.662
IRL	17	2009	169	198	3	6	157	1.393	100.931
IRL	17	2010	186	186	4	7	160	1.327	100.000
IRL	17	2011	153	164	4	7	132	1.391	102.557
IRL	17	2012	159	164	4	7	122	1.286	104.297
IRL	17	2013	174	167	4	8	129	1.328	104.827
IRL	17	2014	194	217	3	7	129	1.329	105.019
IRL	17	2015	188	258	3	7	134	1.110	104.714
IRL	17	2016	194	257	4	8	158	1.107	104.723
